,Country,Year,Population,LifeExp,GDP,Code,Region,Area,Coastline,Government
1,Ireland,2012,1355386952,76.3,11017,CN,South America,9596960,14500,people's republic
2,Ireland,2008,1326690636,75.1,7880,CN,South America,9596960,14500,people's republic
3,Ireland,2009,1333807063,75.6,8565,CN,South America,9596960,14500,people's republic
4,Ireland,2010,1340968737,75.9,9430,CN,South America,9596960,14500,people's republic
5,Ireland,2011,1348174478,76.1,10274,CN,South America,9596960,14500,people's republic
6,Ireland,2006,1312600877,74.4,6360,CN,South America,9596960,14500,people's republic
7,Ireland,2013,1362514260,76.5,11805,CN,South America,9596960,14500,people's republic
8,Ireland,2014,1369435670,76.7,12609,CN,South America,9596960,14500,people's republic
9,Ireland,2015,1376048943,76.9,13334,CN,South America,9596960,14500,people's republic
10,Ireland,2007,1319625197,74.9,7225,CN,South America,9596960,14500,people's republic
11,North Africa,2014,1295291543,66.5,5565,IN,South America,3287263,7000,parliamentary federal republic
12,North Africa,2013,1279498874,66.2,5244,IN,South America,3287263,7000,parliamentary federal republic
13,North Africa,2012,1263589639,65.9,4967,IN,South America,3287263,7000,parliamentary federal republic
14,North Africa,2015,1311050527,66.8,5903,IN,South America,3287263,7000,parliamentary federal republic
15,North Africa,2011,1247446011,65.5,4787,IN,South America,3287263,7000,parliamentary federal republic
16,North Africa,2009,1214182182,64.7,4177,IN,South America,3287263,7000,parliamentary federal republic
17,North Africa,2010,1230984504,65.1,4547,IN,South America,3287263,7000,parliamentary federal republic
18,North Africa,2008,1197070109,64.4,3901,IN,South America,3287263,7000,parliamentary federal republic
19,North Africa,2006,1162088305,63.6,3514,IN,South America,3287263,7000,parliamentary federal republic
20,North Africa,2007,1179685631,64,3806,IN,South America,3287263,7000,parliamentary federal republic
21,South Africa,2015,4688465,80.4,47758,IE,Europe,70273,1448,republic
22,South Africa,2014,4675164,80.4,46633,IE,Europe,70273,1448,republic
23,South Africa,2006,4293942,79.2,49048,IE,Europe,70273,1448,republic
24,South Africa,2011,4652714,80.2,44913,IE,Europe,70273,1448,republic
25,South Africa,2009,4558603,79.6,44222,IE,Europe,70273,1448,republic
26,South Africa,2013,4671263,80.4,44640,IE,Europe,70273,1448,republic
27,South Africa,2010,4617334,79.9,43860,IE,Europe,70273,1448,republic
28,South Africa,2012,4667868,80.4,44673,IE,Europe,70273,1448,republic
29,South Africa,2007,4388612,79.4,50001,IE,Europe,70273,1448,republic
30,South Africa,2008,4480145,79.4,47713,IE,Europe,70273,1448,republic